Designator,Mid X,Mid Y,Rotation,Layer
A1,50.8375,32.188499,270.0,top
A2,26.042,16.004599,180.0,top
A3,73.1005,15.325599,90.0,top
A4,38.4825,4.9595,0.0,top
C1,2.7695,37.372099,0.0,top
C2,28.5505,44.484099,180.0,top
C3,39.9805,44.103099,0.0,top
C4,64.7455,21.243099,0.0,top
C5,64.7455,18.068099,180.0,top
C6,64.7455,11.718099,180.0,top
C7,38.3834,20.557099,0.0,top
C8,64.7455,14.893099,180.0,top
D1,16.8665,40.674099,0.0,top
D2,19.9145,44.484099,180.0,top
D3,6.1985,40.674099,180.0,top
D4,9.5005,44.484099,0.0,top
D5,16.2315,1.558099,180.0,top
D6,69.1905,43.468099,270.0,top
D7,62.5865,44.357099,180.0,top
D8,73.0005,5.241099,180.0,top
J1,1.7365,34.9061,0.0,top
J2,1.7365,32.0105,0.0,top
R1,7.4685,1.177099,180.0,top
R10,19.0255,24.545099,180.0,top
R11,16.1045,19.338099,270.0,top
R2,24.9945,1.177099,0.0,top
R3,52.4265,1.558099,0.0,top
R4,52.4265,3.971099,180.0,top
R5,52.4265,6.511099,0.0,top
R6,52.4265,8.924099,0.0,top
R7,53.6965,44.230099,190.0,top
R8,71.3495,1.939099,180.0,top
R9,46.5845,44.297035,10.0,top
U1,34.3925,43.574099,0.0,top
U2,61.5705,5.114099,270.0,top
